source,country,country_name,product_id,product_name,product_code,emission_factor_per_meur,unit,base_year,tier
EXIOBASE,TW,台灣,185,Sewage sludge for treatment: biogasification and land application,C_BIOS,11384.385282110316,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,186,Food waste for treatment: composting and land application,C_COMF,94245.07937332153,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,187,Paper and wood waste for treatment: composting and land application,C_COMW,17628.99263417352,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,188,Food waste for treatment: waste water treatment,C_WASF,120684.62867068515,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,189,Other waste for treatment: waste water treatment,C_WASO,108817.23635860064,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,190,Food waste for treatment: landfill,C_LANF,110746.1743950465,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,191,Paper for treatment: landfill,C_LANP,77937.49241199225,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,192,Plastic waste for treatment: landfill,C_LANL,90237.7744487076,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,193,Inert/metal/hazardous waste for treatment: landfill,C_LANI,66245.44753362518,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,194,Textiles waste for treatment: landfill,C_LANT,47798.70402094161,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,195,Wood waste for treatment: landfill,C_LANW,50402.22191169397,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,196,Membership organisation services n.e.c. (91),C_ORGA,21446.981852995625,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,197,"Recreational, cultural and sporting services (92)",C_RECR,6603.521091698754,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,198,Other services (93),C_OSER,5665.931990331172,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,199,Private households with employed persons (95),C_PRHH,11356.11126254056,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,200,Extra-territorial organizations and bodies,C_EXTO,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,1,Paddy rice,C_PARI,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,2,Wheat,C_WHEA,118045.4280959673,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,3,Cereal grains nec,C_OCER,127657.9380329392,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,4,"Vegetables, fruit, nuts",C_FVEG,9152.515762394836,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,5,Oil seeds,C_OILS,24203.97358381564,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,6,"Sugar cane, sugar beet",C_SUGB,7989.121120320164,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,7,Plant-based fibers,C_FIBR,633530.2177004713,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,8,Crops nec,C_OTCR,39596.40915016484,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,9,Cattle,C_CATL,61166.182291858975,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,10,Pigs,C_PIGS,133863.3017567099,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,11,Poultry,C_PLTR,47987.81556901739,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,12,Meat animals nec,C_OMEA,34382.87569908716,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,13,Animal products nec,C_OANP,53223.34311707779,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,14,Raw milk,C_MILK,12525.412028716844,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,15,"Wool, silk-worm cocoons",C_WOOL,53090274.97054368,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,16,Manure (conventional treatment),C_MANC,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,17,Manure (biogas treatment),C_MANB,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,18,"Products of forestry, logging and related services (02)",C_FORE,190590.19526461573,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,19,Fish and other fishing products; services incidental of fishing (05),C_FISH,189158.37613410468,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,20,Anthracite,C_ANTH,37153.74525459624,kg CO2e/M.EUR,2022,3
EXIOBASE,GB,英國,21,Coking Coal,C_COKC,178632.52922411423,kg CO2e/M.EUR,2022,3
