Impact factor,Unit,Carbon footprint (kg CO2e),Eco-costs(euro),Source
Methylcyclohexane,kg,4.927,0.82,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Metolachlor ((RS)-2-Chloro-N-(2-ethyl-6-methyl-phenyl)-N-(1-,kg,11.136,1.85,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
MF (melamine formaldehyde resin),kg,1.77,0.93,"James B. Wilson, 2010, LIFE-CYCLE INVENTORY OF FORMALDEHYDE-BASED RESINS USED IN WOOD COMPOSITES IN TERMS OF RESOURCES, EMISSIONS, ENERGY AND CARBON,  WOOD AND FIBER SCIENCE, MARCH 2010, V. 42(CORRIM SPECIAL ISSUE)"
MgAl3Zn,kg,24.319,3.81,mix of the Idemat data of the basic metals + extra melting energy
MgAl6Zn,kg,23.705,3.76,mix of the Idemat data of the basic metals + extra melting energy
MgMn1.5,kg,24.784,3.85,mix of the Idemat data of the basic metals + extra melting energy
MgZn6Zr,kg,23.923,3.8,mix of the Idemat data of the basic metals + extra melting energy
Mica (fire proof electric insulation) estimate,kg,2.376,0.44,surrogate process is pure silica glass (very high melting point)
MIG-arc welding Al 10,m,3.352,0.58,MIG-arc welding process; aluminium sheet 10 mm; butt V- joint; energy per meter joint; no emissions available
MIG-arc welding Al 12,m,5.894,1.02,MIG-arc welding process; aluminium sheet 12 mm; butt V- joint; energy per meter joint; no emissions available
MIG-arc welding Al 4,m,0.649,0.11,MIG-arc welding process; aluminium sheet 4 mm; butt I-joint; energy per meter joint; no emissions available
MIG-arc welding Al 5 I-jnt,m,1.406,0.24,MIG-arc welding process; aluminium sheet 5 mm; butt I-joint; energy per meter joint; no emissions available
MIG-arc welding Al 5 V-jnt,m,2.109,0.37,MIG-arc welding process; aluminium sheet 5 mm; butt V- joint; energy per meter joint; no emissions available
MIG-arc welding Al 6 V-jnt,m,2.503,0.43,MIG-arc welding process; aluminium sheet 6 mm; butt V-joint; energy per meter joint; no emissions available
MIG-arc welding Al 8,m,3.19,0.55,MIG-arc welding process; aluminium sheet 8 mm; butt V- joint; energy per meter joint; no emissions available
Milk full fresh,kg,1.03,0.29,copy agri-footprint
Milk low fat fresh,kg,0.731,0.21,copy agri-footprint
Milk powder skimmed,kg,8.868,2.4,copy agri-footprint
Milk powder whole,kg,8.912,2.44,copy agri-footprint
"Milling Al. (per kg removed, removed Al not counted)",kg,0.066,0.01,required electricity 0.48 MJ per kg removed
"Milling steel (per kg removed, revomed steel not counted)",kg,0.105,0.02,required electricity 0.77 MJ per kg removed
"Mischmetal: Cerium 67%, lanthanum 20%, Neodimium 11%, rest 2",kg,26.582,129.56,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- "
Missanda/Tali FSC/PEFC 900 (kg/m3),kg,0.223,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Missanda/Tali natural forest 900 (kg/m3),kg,3.673,3.22,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
MMA (Methyl methacrylate),kg,3.509,1.31,"Plastics Europe LCI database, water and aluminium deleted because of inaccuracies"
MMA monomer co-firing in electrical power plant,kg,0.122,0,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"MMA monomer waste combustion, clean tech, without heat recovery",kg,2.2,0.31,0
MMA monomer waste incineration with electricity,kg,1.057,0.14,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
Moabi FSC/PEFC 815 (kg/m3),kg,0.231,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Moabi natural forest 815 (kg/m3),kg,3.681,6.49,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Molybdenum (EoL-RIR = 9%),kg,8.634,51.93,"LCA data from ProBas database, 30%brecycled. Litt.  recycle rate EoL-RIR from erostat data or report JRC, Towards Recycling Indicators based on EU flows and Raw Materials System Analysis data. 2018"
Monochlorobenzene,kg,12.598,2.37,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Monoethylene glycol (MEG),kg,1.58,0.25,0
Moulded fibre products.,kg,0.411,0.07,"data from FEFCO 2022 database, data from 2021, https://www.fefco.org/lca Annex 1 assessed july 2022 plus document ""VPN guidelines - LCA data for paper and board products"" 2017 (stating that board has 40% higher score than molded fibre)"
Moulded Recycled mixed polymer (downcycled),kg,0.857,0.14,"Idemat2023 injection moulding, machine only PLUS Idemat2023 Recycling mixed polymer (collecting and sorting endconsumer plastics)"
"Mountain ash, European FEC/PEFC 700 (kg/m3)",kg,0.199,0.04,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Movigui FSC/PEFC 710 (kg/m3),kg,0.23,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Movigui natural forest 710 (kg/m3),kg,3.68,3.09,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Mubura FSC/PEFC 830 (kg/m3),kg,0.21,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Mubura natural forest 830 (kg/m3),kg,3.66,3.46,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Mumetal,kg,9.925,19.59,mix of the Idemat data of the basic metals + extra melting energy
Mussels fresh,kg,1.021,0.28,Danisch food study update by Delft University of Technology
Mutenye FSC/PEFCt 820 (kg/m3),kg,0.237,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Mutenye natural forest 820 (kg/m3),kg,3.687,3.5,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"N,N-Dimethylformamide",kg,1.752,0.42,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Nafion,kg,831,115.33,"Rok Stropnik, Andrej Lotric, Alfonso Bernad Montenegro, Mihael Sekavcnik,  Mitja Mori. Critical materials in PEMFC systems and a LCA analysis for the potential reduction of environmental impacts with EoL strategies. Energy Sci Eng. 2019;7:2519–2539"
Nafion co-firing in electrical power plant,kg,0.135,1.22,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"Nafion waste combustion, clean tech, without heat recovery",kg,0.73,1.31,0
Nafion waste incineration with electricity,kg,0.402,1.26,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"Nat Gas 35 MJ/Nm3 from Netherlands, for heat, incl. combusti",m3,4.801,0.69,0
"Nat Gas 40 MJ/Nm3 from LNG for heat, incl. combustion",m3,2.795,0.41,0
"Nat Gas 40 MJ/Nm3 from Norway, Algeria, UK, for heat, incl.",m3,2.897,0.43,0
Natural gas general EU for heat (excl mat depl. excl. combus,kg,1.161,0.22,"derived from ELCD: Process steam from natural gas, heat plant, consumption mix, at plant, MJ, EU-27 S copy without water"
Natural gas general EU for heat (excl mat depl. incl. combus,kg,3.911,0.59,"derived from ELCD: Process steam from natural gas, heat plant, consumption mix, at plant, MJ, EU-27 S copy without water"
Natural rubber,kg,1.387,2.01,#VALUE!
Natural rubber co-firing in electrical power plant,kg,-3.683,-0.52,"Litt. R. S. Jessup and A. D, Cummings. HEATS OF COMBUSTION OF RUBBER AND OF RUBBER-SULPHUR COMPOUNDS. Journal of Research of the K[ational Bureau of Standards, Volume 13, September 1934"
"Natural rubber waste combustion, clean tech, without heat recovery",kg,0,0.04,0
Natural rubber waste incineration with electricity,kg,-2.025,-0.27,"Litt. R. S. Jessup and A. D, Cummings. HEATS OF COMBUSTION OF RUBBER AND OF RUBBER-SULPHUR COMPOUNDS. Journal of Research of the K[ational Bureau of Standards, Volume 13, September 1934"
NBR (nitrile rubber),kg,3.568,1.45,70% Idemat2023 PB (Polybutadiene) + 24% Idemat2023 Acrylonitrile + 6% filler
N-Dimethyl-2-pyrrolidone,kg,5.819,0.98,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Neodymium,kg,35.732,221.96,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- "
Neodymium magnet (NdFeB) 50 MGOe,kg,17.65,82.87,https://e-magnetsuk.com/introduction-to-neodymium-magnets/how-neodymium-magnets-are-made/ accessed january 2022 https://www.kjmagnetics.com/neomaginfo.asp https://www.kjmagnetics.com/faq.asp
Neodymium magnet (NdFeB) 50 MGOe recycled,kg,4.686,4.8,https://e-magnetsuk.com/introduction-to-neodymium-magnets/how-neodymium-magnets-are-made/ accessed january 2022 https://www.kjmagnetics.com/neomaginfo.asp https://www.kjmagnetics.com/faq.asp. Assumption yield 95% (supply 5%)
"Neodymium magnet (NdFeB) corrosion resistant, 40 MGOe",kg,20.313,108.4,#VALUE!
"Neodymium magnet (NdFeB) corrosion resistant, 40 MGOe recycl",kg,4.82,6.1,#VALUE!
Ni 99.6,kg,11.087,24.76,mix of the Idemat data of the basic metals + extra melting energy
Ni span C902,kg,7.746,11.45,mix of the Idemat data of the basic metals + extra melting energy
Niangon FSC/PEFC 710 (kg/m3),kg,0.23,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Niangon natural forest 710 (kg/m3),kg,3.68,3.95,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
NiCd battery AA-cell,p,0.213,0.28,"Manufacturing data (confidential). Compare also to: Hamade R, et al. Life Cycle analysis of AA Alkaline batteries. Science Direct Procedia Manufacturing 2020"
NiCd battery C-cell,p,0.41,0.88,"Data for one C-cell of 65 gram, 1.25 volt and 1.5 Ah capacity (average Nickel content 12.3%, average Cadmium content 41.7%). Reference: Recycling of Consumer Dry Cell Batteries, Hurd D., et al, Noyes Data Corporation, New Yersey 1993"
Nickel (primary),kg,13.096,29.46,#VALUE!
Nickel (secondary),kg,0.543,0.09,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- . "
Nickel in FerroNickel (27%),kg,45.096,21.34,data from LCA of Nickel Institute 2020. https://nickelinstitute.org/media/4861/lca-ferronickel-final.pdf
Nickel in Nickel Sufate (22%) for car batteries,kg,24.596,39.4,data from LCA of Nickel Institute 2020 https://nickelinstitute.org/media/8d9409c7c0bdfc8/lca-nickel-sulphate-july-2021.pdf
Nickel trade mix (84% prim 16% sec),kg,11.087,24.76,JRC report : Towards recycling indicators based on EU flows and raw materials analysis system data. 2018
"Nickel, recycling credit closed loop (66% virgin part in tra",kg,-8.285,-19.38,#VALUE!
NiCr 80 20,kg,14.627,21.24,mix of the Idemat data of the basic metals + extra melting energy
NiCr20Co18Ti,kg,14.308,23.23,mix of the Idemat data of the basic metals + extra melting energy
NiCr20TiAl,kg,15.004,20.78,mix of the Idemat data of the basic metals + extra melting energy
NiCu30Al,kg,10.775,18.97,mix of the Idemat data of the basic metals + extra melting energy
NiCu30Fe,kg,8.896,17.76,mix of the Idemat data of the basic metals + extra melting energy
NiFe 50 50,kg,6.698,12.65,mix of the Idemat data of the basic metals + extra melting energy
NiMH battery for laptops (54 Wh per kg),kg,60.295,26.91,#VALUE!
NiMo30,kg,10.826,32.27,mix of the Idemat data of the basic metals + extra melting energy
Niobium,kg,0.18,40.36,copy ProBas
Niove FSC/PEFC 850 (kg/m3),kg,0.229,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Niove natural forest 850 (kg/m3),kg,3.679,6.28,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Nitric acid,kg,0.637,0.08,0
"Nitride magnet (Fe16N2), 20-80 MGOe",kg,6.305,1.15,"information on energy: University of Minnesota Professor Jian-Ping Wang. Note: the theoretical maximum is 130 MGOe, but the max reported is 20 MGOe (current production) and 80 MGOe (Doctorate Thesis Xudong Hang, 2021, Univ. of Minnesota)."
"Nitrogen, liquid",kg,0.236,0.04,"Energy for production. Economic allocation for to allocate the energy (4.2 MJ) to O2 and N2: 60%  to O2, 40% to N2, so 2.5 MJ per kg O2 and 1.7 MJ per kg N2 (insiders info)"
Nylon polymer pellet production,kg,5.46,1.46,"copy idemat, 50% Nylon 6, 50% Nylon 66"
"Oak, European FSC/PEFC 710 (kg/m3)",kg,0.214,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Oat flakes,kg,0.666,0.4,Danish Food LCA data; Dalgaard and Halberg (2004 and Thrane (2004)
o-dichlorobenzene,kg,12.542,2.36,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Oil Supertanker,tkm,0.003,0,"example supertanker Pierre Guillomat, see https://en.wikipedia.org/wiki/Pierre_Guillaumat_(supertanker)"
Okan FSC/PEFC 1075 (kg/m3) wet,kg,0.223,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Okan natural forest 1075 (kg/m3) wet,kg,3.176,2.71,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Okoume FSC/PEFC forest 440 (kg/m3),kg,0.271,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Okoume natural forest 440 (kg/m3),kg,3.721,11.65,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Olon FSC/PEFC 485 (kg/m3),kg,0.263,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Olon natural forest 485 (kg/m3),kg,3.713,10.62,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Onion fresh,kg,0.142,0.11,copy agri-footprint
Onzabili FSC/PEFCt 550 (kg/m3),kg,0.254,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Onzabili natural forest 550 (kg/m3),kg,3.704,9.45,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Oregon Pine FSC/PEFC 505 (kg/m3),kg,0.334,0.08,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Oregon Pine natural forest 505 (kg/m3),kg,0.164,3.69,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Oxigen, liquid",kg,0.346,0.06,"Energy for production. Economic allocation for to allocate the energy (4.2 MJ) to O2 and N2: 60%  to O2, 40% to N2, so 2.5 MJ per kg O2 and 1.7 MJ per kg N2 (insiders info)"
